year,category,indicator,dimension,value,unit,note
2020,综合,通货膨胀率(CPI),印度,6.6234,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
2021,综合,通货膨胀率(CPI),印度,5.1314,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
2022,综合,通货膨胀率(CPI),印度,6.699,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
2023,综合,通货膨胀率(CPI),印度,5.6491,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
2024,综合,通货膨胀率(CPI),印度,4.953,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
2019,人口,预期寿命,印度,70.746,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2020,人口,预期寿命,印度,70.156,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2021,人口,预期寿命,印度,67.282,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2022,人口,预期寿命,印度,71.698,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2023,人口,预期寿命,印度,72.003,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2024,人口,预期寿命,印度,72.235,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IND)"
2019,综合,GDP增长率,印度尼西亚,5.0193,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2020,综合,GDP增长率,印度尼西亚,-2.0655,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2021,综合,GDP增长率,印度尼西亚,3.7029,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2022,综合,GDP增长率,印度尼西亚,5.3072,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2023,综合,GDP增长率,印度尼西亚,5.0488,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2024,综合,GDP增长率,印度尼西亚,5.0326,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IDN)"
2019,综合,人均GDP,印度尼西亚,4106.9486,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2020,综合,人均GDP,印度尼西亚,3853.7029,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2021,综合,人均GDP,印度尼西亚,4287.1731,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2022,综合,人均GDP,印度尼西亚,4730.8348,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2023,综合,人均GDP,印度尼西亚,4876.2993,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2024,综合,人均GDP,印度尼西亚,4925.4364,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IDN)"
2019,综合,国内生产总值(GDP),印度尼西亚,11190.9987,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2020,综合,国内生产总值(GDP),印度尼西亚,10590.5484,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2021,综合,国内生产总值(GDP),印度尼西亚,11865.0969,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2022,综合,国内生产总值(GDP),印度尼西亚,13191.0118,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2023,综合,国内生产总值(GDP),印度尼西亚,13711.6693,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2024,综合,国内生产总值(GDP),印度尼西亚,13963.0179,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IDN)"
2019,人口,失业率,印度尼西亚,3.59,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2020,人口,失业率,印度尼西亚,4.255,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2021,人口,失业率,印度尼西亚,3.827,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2022,人口,失业率,印度尼西亚,3.462,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2023,人口,失业率,印度尼西亚,3.308,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2024,人口,失业率,印度尼西亚,3.301,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IDN)"
2019,工业,工业增加值,印度尼西亚,4359.0919,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2020,工业,工业增加值,印度尼西亚,4049.6556,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2021,工业,工业增加值,印度尼西亚,4727.6264,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2022,工业,工业增加值,印度尼西亚,5464.9391,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2023,工业,工业增加值,印度尼西亚,5514.2509,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2024,工业,工业增加值,印度尼西亚,5490.0402,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IDN)"
2019,人口,总人口,印度尼西亚,2.7249,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2020,人口,总人口,印度尼西亚,2.7481,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2021,人口,总人口,印度尼西亚,2.7676,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2022,人口,总人口,印度尼西亚,2.7883,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2023,人口,总人口,印度尼西亚,2.8119,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2024,人口,总人口,印度尼西亚,2.8349,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IDN)"
2019,贸易,货物服务出口总额,印度尼西亚,2080.5776,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2020,贸易,货物服务出口总额,印度尼西亚,1835.4658,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2021,贸易,货物服务出口总额,印度尼西亚,2541.0951,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2022,贸易,货物服务出口总额,印度尼西亚,3232.182,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2023,贸易,货物服务出口总额,印度尼西亚,2990.3181,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2024,贸易,货物服务出口总额,印度尼西亚,3115.1002,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IDN)"
2019,贸易,货物服务进口总额,印度尼西亚,2130.3465,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2020,贸易,货物服务进口总额,印度尼西亚,1656.4684,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2021,贸易,货物服务进口总额,印度尼西亚,2229.2385,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2022,贸易,货物服务进口总额,印度尼西亚,2765.068,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2023,贸易,货物服务进口总额,印度尼西亚,2694.6054,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2024,贸易,货物服务进口总额,印度尼西亚,2862.459,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IDN)"
2019,综合,通货膨胀率(CPI),印度尼西亚,3.0306,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2020,综合,通货膨胀率(CPI),印度尼西亚,1.9198,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2021,综合,通货膨胀率(CPI),印度尼西亚,1.5601,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2022,综合,通货膨胀率(CPI),印度尼西亚,4.2095,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2023,综合,通货膨胀率(CPI),印度尼西亚,3.6694,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2024,综合,通货膨胀率(CPI),印度尼西亚,2.1815,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IDN)"
2019,人口,预期寿命,印度尼西亚,70.349,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2020,人口,预期寿命,印度尼西亚,68.817,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2021,人口,预期寿命,印度尼西亚,67.452,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2022,人口,预期寿命,印度尼西亚,70.925,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2023,人口,预期寿命,印度尼西亚,71.146,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2024,人口,预期寿命,印度尼西亚,71.288,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, IDN)"
2019,综合,GDP增长率,新加坡,1.1588,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2020,综合,GDP增长率,新加坡,-3.6108,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2021,综合,GDP增长率,新加坡,10.1411,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2022,综合,GDP增长率,新加坡,4.0103,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2023,综合,GDP增长率,新加坡,1.4503,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2024,综合,GDP增长率,新加坡,5.3435,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, SGP)"
2019,综合,人均GDP,新加坡,66068.7003,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2020,综合,人均GDP,新加坡,61772.5036,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2021,综合,人均GDP,新加坡,80884.8565,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2022,综合,人均GDP,新加坡,91227.697,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2023,综合,人均GDP,新加坡,86382.59,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2024,综合,人均GDP,新加坡,94896.5621,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, SGP)"
2019,综合,国内生产总值(GDP),新加坡,3768.2739,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2020,综合,国内生产总值(GDP),新加坡,3512.2653,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2021,综合,国内生产总值(GDP),新加坡,4411.109,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2022,综合,国内生产总值(GDP),新加坡,5142.5254,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2023,综合,国内生产总值(GDP),新加坡,5111.8176,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2024,综合,国内生产总值(GDP),新加坡,5728.7726,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, SGP)"
2019,人口,失业率,新加坡,3.1,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2020,人口,失业率,新加坡,4.1,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2021,人口,失业率,新加坡,4.64,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2022,人口,失业率,新加坡,3.591,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2023,人口,失业率,新加坡,3.444,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2024,人口,失业率,新加坡,2.737,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, SGP)"
2019,工业,工业增加值,新加坡,902.6506,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2020,工业,工业增加值,新加坡,815.5771,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2021,工业,工业增加值,新加坡,1082.985,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2022,工业,工业增加值,新加坡,1225.9385,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2023,工业,工业增加值,新加坡,1131.6975,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2024,工业,工业增加值,新加坡,1228.8486,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, SGP)"
2019,人口,总人口,新加坡,0.057,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2020,人口,总人口,新加坡,0.0569,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2021,人口,总人口,新加坡,0.0545,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2022,人口,总人口,新加坡,0.0564,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2023,人口,总人口,新加坡,0.0592,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2024,人口,总人口,新加坡,0.0604,亿人,"来源：世界银行OpenData(SP.POP.TOTL, SGP)"
2019,贸易,货物服务出口总额,新加坡,6663.0258,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2020,贸易,货物服务出口总额,新加坡,6363.5216,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2021,贸易,货物服务出口总额,新加坡,7991.1342,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2022,贸易,货物服务出口总额,新加坡,9514.2199,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2023,贸易,货物服务出口总额,新加坡,9223.2532,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2024,贸易,货物服务出口总额,新加坡,10005.6367,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, SGP)"
2019,贸易,货物服务进口总额,新加坡,5556.3593,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2020,贸易,货物服务进口总额,新加坡,5264.906,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2021,贸易,货物服务进口总额,新加坡,6412.6037,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2022,贸易,货物服务进口总额,新加坡,7468.8115,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2023,贸易,货物服务进口总额,新加坡,7323.7628,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2024,贸易,货物服务进口总额,新加坡,7942.5721,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, SGP)"
2019,综合,通货膨胀率(CPI),新加坡,0.5678,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2020,综合,通货膨胀率(CPI),新加坡,-0.1721,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2021,综合,通货膨胀率(CPI),新加坡,2.3161,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2022,综合,通货膨胀率(CPI),新加坡,6.131,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2023,综合,通货膨胀率(CPI),新加坡,4.8337,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2024,综合,通货膨胀率(CPI),新加坡,2.3895,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, SGP)"
2019,人口,预期寿命,新加坡,83.5951,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2020,人口,预期寿命,新加坡,83.5439,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2021,人口,预期寿命,新加坡,83.0927,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2022,人口,预期寿命,新加坡,82.8951,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2023,人口,预期寿命,新加坡,83.0976,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2024,人口,预期寿命,新加坡,83.3463,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, SGP)"
2019,综合,GDP增长率,日本,-0.3085,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2020,综合,GDP增长率,日本,-4.2833,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2021,综合,GDP增长率,日本,3.5642,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2022,综合,GDP增长率,日本,1.3316,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2023,综合,GDP增长率,日本,0.7208,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2024,综合,GDP增长率,日本,-0.2401,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, JPN)"
2019,综合,人均GDP,日本,41424.8656,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2020,综合,人均GDP,日本,41098.9739,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2021,综合,人均GDP,日本,41580.739,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2022,综合,人均GDP,日本,35548.2645,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2023,综合,人均GDP,日本,35215.0035,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2024,综合,人均GDP,日本,33797.1014,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, JPN)"
2019,综合,国内生产总值(GDP),日本,52457.55,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2020,综合,国内生产总值(GDP),日本,51891.9754,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2021,综合,国内生产总值(GDP),日本,52259.3352,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2022,综合,国内生产总值(GDP),日本,44479.7621,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2023,综合,国内生产总值(GDP),日本,43848.5427,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2024,综合,国内生产总值(GDP),日本,41900.0819,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, JPN)"
2019,人口,失业率,日本,2.351,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2020,人口,失业率,日本,2.809,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2021,人口,失业率,日本,2.808,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2022,人口,失业率,日本,2.614,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2023,人口,失业率,日本,2.6,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2024,人口,失业率,日本,2.5,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, JPN)"
2019,工业,工业增加值,日本,15274.3703,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2020,工业,工业增加值,日本,15041.3981,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2021,工业,工业增加值,日本,14868.0338,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2022,工业,工业增加值,日本,12035.1588,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2023,工业,工业增加值,日本,12124.9104,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2024,工业,工业增加值,日本,11220.0476,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, JPN)"
2019,人口,总人口,日本,1.2663,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2020,人口,总人口,日本,1.2626,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2021,人口,总人口,日本,1.2568,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2022,人口,总人口,日本,1.2512,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2023,人口,总人口,日本,1.2452,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2024,人口,总人口,日本,1.2398,亿人,"来源：世界银行OpenData(SP.POP.TOTL, JPN)"
2019,贸易,货物服务出口总额,日本,8937.6111,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2020,贸易,货物服务出口总额,日本,7850.5763,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2021,贸易,货物服务出口总额,日本,9125.5175,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2022,贸易,货物服务出口总额,日本,9184.1223,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2023,贸易,货物服务出口总额,日本,9234.2006,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2024,贸易,货物服务出口总额,日本,9209.6,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, JPN)"
2019,贸易,货物服务进口总额,日本,9085.9099,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2020,贸易,货物服务进口总额,日本,7986.4513,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2021,贸易,货物服务进口总额,日本,9387.5573,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2022,贸易,货物服务进口总额,日本,10769.7797,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2023,贸易,货物服务进口总额,日本,9881.6082,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2024,贸易,货物服务进口总额,日本,9583.8181,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, JPN)"
2019,综合,通货膨胀率(CPI),日本,0.4688,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2020,综合,通货膨胀率(CPI),日本,-0.025,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2021,综合,通货膨胀率(CPI),日本,-0.2334,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2022,综合,通货膨胀率(CPI),日本,2.4977,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2023,综合,通货膨胀率(CPI),日本,3.2681,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2024,综合,通货膨胀率(CPI),日本,2.7385,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, JPN)"
2019,人口,预期寿命,日本,84.3563,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2020,人口,预期寿命,日本,84.56,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2021,人口,预期寿命,日本,84.4456,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2022,人口,预期寿命,日本,83.9963,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2023,人口,预期寿命,日本,84.0412,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2024,人口,预期寿命,日本,84.0363,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, JPN)"
2019,综合,GDP增长率,泰国,2.1146,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2020,综合,GDP增长率,泰国,-6.0931,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2021,综合,GDP增长率,泰国,1.5586,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2022,综合,GDP增长率,泰国,2.6378,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2023,综合,GDP增长率,泰国,2.2488,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2024,综合,GDP增长率,泰国,2.9486,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, THA)"
2019,综合,人均GDP,泰国,7605.6966,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2020,综合,人均GDP,泰国,6983.0341,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2021,综合,人均GDP,泰国,7055.1876,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2022,综合,人均GDP,泰国,6910.01,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2023,综合,人均GDP,泰国,7210.5413,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2024,综合,人均GDP,泰国,7386.6362,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, THA)"
2019,综合,国内生产总值(GDP),泰国,5439.7669,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2020,综合,国内生产总值(GDP),泰国,5002.7493,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2021,综合,国内生产总值(GDP),泰国,5060.4978,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2022,综合,国内生产总值(GDP),泰国,4956.9184,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2023,综合,国内生产总值(GDP),泰国,5170.1337,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2024,综合,国内生产总值(GDP),泰国,5293.8552,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, THA)"
2019,人口,失业率,泰国,0.716,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2020,人口,失业率,泰国,1.099,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2021,人口,失业率,泰国,1.215,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2022,人口,失业率,泰国,0.94,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2023,人口,失业率,泰国,0.733,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2024,人口,失业率,泰国,0.781,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, THA)"
2019,工业,工业增加值,泰国,1827.4304,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2020,工业,工业增加值,泰国,1666.0738,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2021,工业,工业增加值,泰国,1773.2866,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2022,工业,工业增加值,泰国,1741.2159,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2023,工业,工业增加值,泰国,1701.7154,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2024,工业,工业增加值,泰国,1685.3927,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, THA)"
2019,人口,总人口,泰国,0.7152,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2020,人口,总人口,泰国,0.7164,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2021,人口,总人口,泰国,0.7173,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2022,人口,总人口,泰国,0.7174,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2023,人口,总人口,泰国,0.717,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2024,人口,总人口,泰国,0.7167,亿人,"来源：世界银行OpenData(SP.POP.TOTL, THA)"
2019,贸易,货物服务出口总额,泰国,3237.6889,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, THA)"
